iter	Passed	Remaining
0	59	59007
1	59	29936
2	60	20150
3	61	15242
4	62	12373
5	63	10497
6	63	9005
7	63	7896
8	159	17550
9	184	18312
10	185	16650
11	185	15257
12	185	14078
13	185	13074
14	185	12210
15	186	11467
16	187	10813
17	187	10234
18	187	9698
19	188	9212
20	188	8806
21	189	8406
22	189	8066
23	190	7727
24	190	7418
25	203	7619
26	206	7455
27	207	7194
28	207	6944
29	207	6711
30	207	6492
31	208	6295
32	209	6127
33	209	5949
34	209	5786
35	210	5634
36	211	5508
37	211	5364
38	212	5235
39	262	6291
40	263	6151
41	263	6003
42	263	5861
43	263	5728
44	264	5619
45	265	5510
46	266	5394
47	266	5280
48	266	5171
49	266	5065
50	269	5016
51	270	4925
52	273	4890
53	276	4851
54	277	4760
55	281	4751
56	282	4667
57	282	4585
58	282	4509
59	282	4432
60	283	4359
61	283	4287
62	284	4235
63	284	4167
64	285	4102
65	285	4045
66	286	3982
67	289	3963
68	289	3905
69	299	3982
70	300	3926
71	344	4445
72	345	4384
73	346	4340
74	347	4284
75	388	4727
76	389	4670
77	410	4857
78	411	4793
79	411	4735
80	414	4705
81	415	4646
82	456	5041
83	457	4985
84	457	4922
85	457	4864
86	457	4805
87	458	4749
88	458	4693
89	459	4641
90	460	4601
91	461	4550
92	461	4500
93	461	4449
94	463	4414
95	463	4369
96	484	4514
97	485	4468
98	485	4420
99	485	4372
100	498	4434
101	498	4391
102	499	4350
103	545	4703
104	547	4669
105	589	4969
106	592	4945
107	592	4895
108	597	4886
109	598	4843
110	599	4802
111	600	4763
112	601	4718
113	601	4672
114	612	4716
115	613	4674
116	614	4637
117	634	4745
118	635	4701
119	635	4662
120	636	4621
121	636	4581
122	636	4540
123	637	4500
124	687	4813
125	697	4841
126	698	4801
127	699	4763
128	699	4722
129	699	4682
130	706	4687
131	713	4689
132	763	4976
133	805	5203
134	806	5165
135	806	5123
136	853	5378
137	900	5624
138	955	5916
139	1001	6150
140	1007	6136
141	1007	6087
142	1007	6040
143	1008	5992
144	1008	5945
145	1008	5900
146	1008	5854
147	1055	6078
148	1056	6032
149	1068	6056
150	1069	6010
151	1115	6226
152	1164	6446
153	1165	6401
154	1177	6421
155	1180	6384
156	1180	6339
157	1183	6308
158	1184	6266
159	1187	6234
160	1234	6432
161	1261	6523
162	1319	6774
163	1369	6982
164	1429	7236
165	1478	7430
166	1527	7620
167	1569	7770
168	1575	7745
169	1622	7921
170	1671	8102
171	1681	8093
172	1681	8040
173	1728	8204
174	1821	8585
175	1874	8774
176	1875	8722
177	1876	8664
178	1922	8818
179	1966	8960
180	1977	8949
181	2029	9120
182	2080	9287
183	2125	9426
184	2176	9587
185	2219	9712
186	2281	9917
187	2333	10078
188	2334	10015
189	2358	10055
190	2414	10225
191	2414	10162
192	2471	10334
193	2520	10470
194	2522	10411
195	2566	10527
196	2609	10636
197	2650	10737
198	2695	10851
199	2738	10953
200	2783	11065
201	2829	11176
202	2840	11150
203	2840	11084
204	2841	11018
205	2896	11163
206	2941	11270
207	2994	11401
208	3038	11501
209	3041	11443
210	3083	11531
211	3133	11647
212	3177	11738
213	3229	11859
214	3298	12045
215	3353	12173
216	3404	12283
217	3409	12229
218	3453	12315
219	3502	12416
220	3509	12369
221	3560	12478
222	3618	12608
223	3668	12709
224	3670	12641
225	3719	12738
226	3742	12744
227	3788	12827
228	3845	12947
229	3848	12884
230	3905	13000
231	3908	12938
232	3957	13025
233	4005	13112
234	4049	13184
235	4090	13242
236	4134	13311
237	4176	13372
238	4198	13368
239	4256	13478
240	4330	13638
241	4345	13612
242	4405	13724
243	4428	13720
244	4493	13846
245	4556	13967
246	4559	13899
247	4677	14182
248	4761	14362
249	4775	14325
250	4838	14439
251	4896	14533
252	4943	14597
253	4996	14674
254	4998	14602
255	5061	14710
256	5121	14807
257	5178	14892
258	5228	14959
259	5238	14910
260	5285	14965
261	5334	15027
262	5356	15011
263	5399	15053
264	5439	15087
265	5442	15018
266	5448	14956
267	5458	14910
268	5505	14960
269	5554	15016
270	5556	14946
271	5559	14879
272	5617	14959
273	5666	15014
274	5713	15063
275	5763	15118
276	5764	15046
277	5816	15105
278	5862	15148
279	5905	15184
280	5955	15239
281	6020	15329
282	6074	15390
283	6076	15318
284	6128	15373
285	6185	15441
286	6235	15490
287	6273	15509
288	6283	15457
289	6321	15475
290	6358	15492
291	6412	15548
292	6414	15477
293	6455	15503
294	6500	15535
295	6506	15475
296	6548	15500
297	6588	15521
298	6627	15537
299	6674	15573
300	6675	15501
301	6680	15441
302	6699	15410
303	6745	15443
304	6787	15466
305	6829	15488
306	6867	15503
307	6911	15529
308	6953	15548
309	6994	15568
310	7034	15584
311	7035	15514
312	7080	15539
313	7132	15582
314	7177	15607
315	7220	15628
316	7263	15649
317	7305	15668
318	7352	15695
319	7363	15646
320	7416	15686
321	7437	15660
322	7438	15590
323	7506	15662
324	7565	15711
325	7610	15735
326	7634	15712
327	7700	15776
328	7755	15816
329	7761	15757
330	7767	15699
331	7779	15653
332	7837	15698
333	7889	15732
334	7943	15767
335	7994	15798
336	8039	15816
337	8040	15747
338	8084	15763
339	8139	15799
340	8190	15828
341	8229	15833
342	8283	15866
343	8341	15907
344	8391	15932
345	8404	15886
346	8415	15836
347	8469	15868
348	8517	15888
349	8561	15899
350	8605	15910
351	8651	15927
352	8702	15950
353	8704	15885
354	8756	15909
355	8802	15924
356	8840	15922
357	8883	15931
358	8928	15941
359	8985	15973
360	9039	16000
361	9086	16013
362	9129	16019
363	9188	16054
364	9233	16063
365	9234	15995
366	9276	15999
367	9315	15998
368	9366	16017
369	9408	16020
370	9463	16044
371	9517	16067
372	9562	16074
373	9625	16110
374	9668	16114
375	9711	16117
376	9755	16120
377	9799	16125
378	9849	16138
379	9897	16148
380	9938	16147
381	9982	16149
382	10039	16173
383	10089	16185
384	10091	16120
385	10133	16119
386	10177	16121
387	10221	16122
388	10224	16059
389	10265	16055
390	10307	16054
391	10310	15991
392	10352	15990
393	10396	15990
394	10444	15997
395	10451	15941
396	10452	15876
397	10499	15881
398	10541	15877
399	10589	15884
400	10593	15824
401	10642	15831
402	10644	15768
403	10692	15774
404	10730	15764
405	10768	15755
406	10778	15704
407	10817	15696
408	10855	15685
409	10897	15681
410	10940	15679
411	10941	15615
412	10951	15565
413	10998	15568
414	11038	15559
415	11077	15551
416	11134	15566
417	11178	15565
418	11224	15564
419	11263	15554
420	11273	15504
421	11312	15493
422	11363	15501
423	11369	15445
424	11421	15452
425	11480	15469
426	11501	15434
427	11540	15423
428	11543	15365
429	11583	15355
430	11622	15343
431	11673	15348
432	11683	15299
433	11727	15294
434	11771	15289
435	11817	15287
436	11858	15277
437	11898	15266
438	11941	15259
439	11980	15248
440	11991	15199
441	12030	15188
442	12084	15194
443	12109	15163
444	12164	15171
445	12211	15168
446	12263	15171
447	12306	15163
448	12348	15153
449	12393	15147
450	12433	15135
451	12474	15123
452	12519	15117
453	12522	15059
454	12571	15057
455	12610	15043
456	12659	15042
457	12698	15027
458	12740	15016
459	12789	15014
460	12843	15016
461	12888	15008
462	12935	15002
463	12940	14948
464	12988	14943
465	13051	14955
466	13099	14950
467	13151	14950
468	13207	14954
469	13250	14941
470	13306	14945
471	13353	14937
472	13401	14931
473	13450	14926
474	13493	14913
475	13552	14919
476	13609	14922
477	13610	14863
478	13676	14875
479	13693	14835
480	13736	14821
481	13783	14812
482	13838	14812
483	13857	14773
484	13898	14758
485	13940	14743
486	13981	14727
487	13981	14669
488	13982	14611
489	14023	14596
490	14071	14587
491	14113	14572
492	14155	14557
493	14198	14543
494	14238	14526
495	14239	14469
496	14285	14458
497	14329	14444
498	14374	14431
499	14418	14418
500	14465	14408
501	14507	14391
502	14550	14376
503	14591	14359
504	14635	14345
505	14676	14327
506	14720	14314
507	14761	14296
508	14809	14286
509	14856	14274
510	14862	14222
511	14902	14203
512	14944	14186
513	14985	14168
514	15027	14152
515	15067	14132
516	15109	14115
517	15151	14098
518	15191	14079
519	15233	14061
520	15252	14022
521	15296	14006
522	15344	13994
523	15383	13973
524	15430	13960
525	15481	13950
526	15531	13940
527	15574	13923
528	15596	13886
529	15644	13873
530	15693	13861
531	15735	13842
532	15782	13828
533	15824	13809
534	15866	13790
535	15908	13771
536	15909	13717
537	15912	13664
538	15914	13611
539	15963	13598
540	15970	13549
541	16034	13549
542	16173	13611
543	16248	13619
544	16303	13610
545	16353	13598
546	16405	13586
547	16451	13569
548	16495	13550
549	16536	13529
550	16577	13508
551	16616	13486
552	16659	13466
553	16697	13442
554	16707	13395
555	16753	13378
556	16775	13341
557	16823	13325
558	16866	13306
559	16905	13283
560	16960	13271
561	17018	13263
562	17070	13250
563	17119	13234
564	17163	13214
565	17208	13195
566	17255	13177
567	17302	13159
568	17343	13137
569	17391	13120
570	17433	13097
571	17483	13082
572	17485	13030
573	17539	13016
574	17590	13001
575	17646	12989
576	17696	12973
577	17748	12958
578	17760	12913
579	17808	12896
580	17860	12880
581	17915	12867
582	17976	12857
583	18030	12843
584	18085	12829
585	18165	12833
586	18234	12829
587	18298	12821
588	18364	12814
589	18435	12811
590	18499	12802
591	18550	12784
592	18610	12773
593	18667	12759
594	18706	12733
595	18748	12708
596	18786	12681
597	18791	12632
598	18843	12614
599	18890	12593
600	18937	12572
601	18977	12546
602	18978	12494
603	19019	12469
604	19061	12444
605	19102	12419
606	19145	12395
607	19200	12379
608	19243	12355
609	19284	12329
610	19333	12308
611	19377	12285
612	19417	12258
613	19462	12235
614	19467	12187
615	19505	12159
616	19509	12110
617	19566	12094
618	19615	12073
619	19673	12057
620	19718	12034
621	19776	12018
622	19820	11993
623	19869	11972
624	19913	11948
625	19963	11926
626	19985	11889
627	20038	11870
628	20089	11849
629	20136	11826
630	20179	11800
631	20230	11779
632	20240	11734
633	20289	11712
634	20334	11688
635	20378	11663
636	20420	11636
637	20469	11614
638	20515	11589
639	20557	11563
640	20599	11537
641	20619	11498
642	20666	11474
643	20704	11445
644	20755	11423
645	20758	11375
646	20796	11346
647	20846	11324
648	20848	11275
649	20899	11253
650	20943	11227
651	20984	11200
652	20994	11156
653	21036	11129
654	21088	11107
655	21129	11080
656	21174	11054
657	21219	11028
658	21259	11000
659	21304	10975
660	21366	10957
661	21410	10931
662	21460	10908
663	21511	10885
664	21566	10864
665	21613	10839
666	21659	10813
667	21707	10788
668	21717	10745
669	21759	10717
670	21802	10690
671	21850	10665
672	21899	10640
673	21943	10613
674	21995	10590
675	22040	10563
676	22043	10517
677	22063	10478
678	22110	10452
679	22153	10425
680	22202	10400
681	22248	10373
682	22300	10350
683	22357	10329
684	22400	10300
685	22406	10255
686	22456	10231
687	22501	10204
688	22547	10177
689	22550	10131
690	22589	10101
691	22641	10077
692	22679	10047
693	22720	10017
694	22773	9994
695	22819	9966
696	22820	9920
697	22860	9891
698	22897	9860
699	22939	9831
700	22980	9801
701	23021	9772
702	23066	9744
703	23108	9716
704	23151	9687
705	23171	9649
706	23214	9620
707	23256	9591
708	23299	9562
709	23301	9517
710	23341	9487
711	23384	9458
712	23425	9429
713	23466	9399
714	23486	9361
715	23541	9337
716	23587	9310
717	23629	9280
718	23635	9237
719	23680	9209
720	23700	9171
721	23750	9144
722	23794	9116
723	23840	9088
724	23877	9056
725	23927	9030
726	23969	9001
727	24009	8970
728	24052	8941
729	24053	8896
730	24096	8867
731	24102	8824
732	24144	8794
733	24182	8763
734	24222	8733
735	24278	8708
736	24333	8683
737	24363	8649
738	24406	8619
739	24464	8595
740	24473	8554
741	24475	8510
742	24519	8481
743	24526	8439
744	24576	8412
745	24579	8368
746	24604	8333
747	24669	8311
748	24670	8267
749	24724	8241
750	24774	8214
751	24778	8171
752	24824	8143
753	24874	8115
754	24925	8088
755	24985	8064
756	25036	8036
757	25099	8013
758	25103	7970
759	25141	7939
760	25144	7896
761	25184	7866
762	25229	7836
763	25278	7808
764	25326	7780
765	25378	7752
766	25422	7722
767	25466	7693
768	25506	7661
769	25548	7631
770	25595	7602
771	25642	7573
772	25686	7543
773	25728	7512
774	25772	7482
775	25820	7453
776	25820	7410
777	25867	7381
778	25910	7350
779	25955	7320
780	26005	7292
781	26019	7253
782	26065	7223
783	26114	7194
784	26164	7166
785	26218	7138
786	26267	7109
787	26322	7081
788	26371	7052
789	26427	7025
790	26474	6995
791	26512	6962
792	26570	6935
793	26634	6910
794	26696	6884
795	26736	6852
796	26776	6819
797	26821	6789
798	26859	6756
799	26904	6726
800	26906	6684
801	26963	6656
802	27015	6627
803	27018	6586
804	27060	6555
805	27106	6524
806	27148	6492
807	27193	6461
808	27194	6420
809	27237	6389
810	27243	6348
811	27283	6316
812	27331	6286
813	27385	6257
814	27433	6227
815	27443	6188
816	27445	6147
817	27486	6115
818	27538	6086
819	27578	6053
820	27630	6024
821	27673	5992
822	27723	5962
823	27767	5930
824	27808	5898
825	27855	5867
826	27902	5836
827	27947	5805
828	27987	5773
829	28030	5741
830	28074	5709
831	28119	5678
832	28165	5646
833	28207	5614
834	28252	5582
835	28298	5551
836	28342	5519
837	28353	5481
838	28356	5441
839	28403	5410
840	28447	5378
841	28492	5346
842	28529	5313
843	28574	5281
844	28624	5250
845	28679	5220
846	28726	5189
847	28772	5157
848	28792	5120
849	28841	5089
850	28847	5050
851	28891	5018
852	28935	4986
853	28972	4953
854	29012	4920
855	29056	4887
856	29094	4854
857	29139	4822
858	29190	4791
859	29233	4758
860	29274	4726
861	29319	4693
862	29322	4654
863	29364	4622
864	29414	4590
865	29466	4559
866	29469	4520
867	29506	4487
868	29553	4455
869	29591	4421
870	29652	4391
871	29701	4359
872	29742	4326
873	29797	4295
874	29840	4262
875	29851	4225
876	29893	4192
877	29932	4159
878	29975	4126
879	30020	4093
880	30063	4060
881	30110	4028
882	30162	3996
883	30188	3961
884	30230	3928
885	30276	3895
886	30320	3862
887	30379	3831
888	30423	3798
889	30435	3761
890	30478	3728
891	30524	3695
892	30576	3663
893	30578	3625
894	30628	3593
895	30682	3561
896	30730	3528
897	30770	3495
898	30776	3457
899	30820	3424
900	30864	3391
901	30910	3358
902	30950	3324
903	30994	3291
904	31039	3258
905	31082	3224
906	31127	3191
907	31168	3158
908	31208	3124
909	31246	3090
910	31285	3056
911	31332	3023
912	31354	2987
913	31375	2952
914	31430	2919
915	31472	2886
916	31510	2852
917	31559	2819
918	31599	2785
919	31642	2751
920	31686	2717
921	31728	2684
922	31771	2650
923	31818	2617
924	31821	2580
925	31871	2546
926	31919	2513
927	31964	2479
928	32013	2446
929	32055	2412
930	32101	2379
931	32152	2345
932	32196	2312
933	32248	2278
934	32301	2245
935	32351	2212
936	32400	2178
937	32447	2144
938	32495	2111
939	32540	2077
940	32547	2040
941	32595	2006
942	32654	1973
943	32762	1943
944	32768	1907
945	32812	1873
946	32854	1838
947	32877	1803
948	32927	1769
949	32982	1735
950	33039	1702
951	33090	1668
952	33091	1632
953	33140	1597
954	33183	1563
955	33233	1529
956	33287	1495
957	33332	1461
958	33383	1427
959	33411	1392
960	33460	1357
961	33508	1323
962	33554	1289
963	33603	1254
964	33687	1221
965	33737	1187
966	33784	1152
967	33794	1117
968	33843	1082
969	33890	1048
970	33941	1013
971	33995	979
972	34047	944
973	34106	910
974	34169	876
975	34176	840
976	34233	805
977	34294	771
978	34343	736
979	34406	702
980	34452	667
981	34503	632
982	34554	597
983	34578	562
984	34643	527
985	34691	492
986	34742	457
987	34804	422
988	34862	387
989	34916	352
990	34963	317
991	35008	282
992	35073	247
993	35087	211
994	35149	176
995	35186	141
996	35231	106
997	35302	70
998	35354	35
999	35415	0
